,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,weekend_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase
80,2012.82465753,2018.02465753,21.1538461538,0.6,0.2375,0.1125,0.272727272727,0.227272727273,0.554545454545,0.136363636364,0.0272727272727,0.00909090909091,0.0,0.0363636363636,0.00909090909091,0.0285714285714,0.0571428571429,0.0285714285714,0.2,0.0285714285714,26,0,110.0
71,2008.85205479,2017.83835616,7.01067073171,0.473684210526,0.315789473684,0.105263157895,0.396825396825,0.507936507937,0.0952380952381,0.174603174603,0.0793650793651,0.126984126984,0.015873015873,0.0,0.0,0.828571428571,0.885714285714,0.771428571429,0.942857142857,0.371428571429,29,1,63.0
29,2015.56986301,2018.02739726,41.9119286511,0.671232876712,0.164383561644,0.0684931506849,0.291262135922,0.31067961165,0.223300970874,0.21359223301,0.135922330097,0.0582524271845,0.0194174757282,0.00970873786408,0.0291262135922,0.685714285714,0.428571428571,0.571428571429,0.457142857143,0.285714285714,36,0,103.0
63,2009.55616438,2017.83835616,10.0215018194,0.677419354839,0.274193548387,0.0483870967742,0.253012048193,0.469879518072,0.180722891566,0.168674698795,0.0722891566265,0.0602409638554,0.0240963855422,0.0240963855422,0.0,0.657142857143,0.657142857143,0.6,0.914285714286,0.542857142857,42,1,83.0
43,2008.04383562,2017.98356164,19.618246968,0.693251533742,0.19018404908,0.0736196319018,0.164102564103,0.446153846154,0.153846153846,0.0923076923077,0.153846153846,0.0820512820513,0.0102564102564,0.00512820512821,0.0564102564103,0.857142857143,0.771428571429,0.857142857143,0.142857142857,1.0,31,1,195.0
11,2011.32876712,2017.97534247,24.9752679308,0.517543859649,0.254385964912,0.210526315789,0.313253012048,0.174698795181,0.331325301205,0.367469879518,0.066265060241,0.0542168674699,0.0,0.0,0.00602409638554,0.742857142857,0.685714285714,0.714285714286,0.228571428571,0.714285714286,30,0,166.0
33,2009.0109589,2018.01917808,49.7323600973,0.688821752266,0.19335347432,0.0543806646526,0.261160714286,0.348214285714,0.404017857143,0.147321428571,0.0535714285714,0.0401785714286,0.00446428571429,0.00223214285714,0.0,0.6,0.4,0.628571428571,0.0,0.542857142857,46,0,448.0
15,2011.22191781,2018.03561644,19.9597909127,0.860869565217,0.095652173913,0.0260869565217,0.154411764706,0.360294117647,0.176470588235,0.352941176471,0.0147058823529,0.0294117647059,0.0441176470588,0.0220588235294,0.0,0.257142857143,0.171428571429,0.257142857143,0.257142857143,0.114285714286,32,1,136.0
38,2012.78082192,2017.75342466,15.0826446281,0.666666666667,0.228070175439,0.0350877192982,0.24,0.293333333333,0.24,0.2,0.226666666667,0.0133333333333,0.0,0.0,0.0266666666667,0.2,0.485714285714,0.2,0.0,0.0571428571429,38,1,75.0
53,2014.92054795,2018.03013699,63.0308370044,0.831325301205,0.114457831325,0.0361445783133,0.15306122449,0.219387755102,0.397959183673,0.168367346939,0.112244897959,0.0816326530612,0.015306122449,0.00510204081633,0.0,0.171428571429,0.285714285714,0.228571428571,0.685714285714,0.657142857143,38,0,196.0
