,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,weekend_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase,openness_group
3,0.677141214792,0.99292324442,0.0429216126571,0.421052631579,0.368421052632,0.105263157895,0.173913043478,0.695652173913,0.0459392945037,0.173913043478,0.101449275362,0.0869565217391,0.0,0.0,0.0,0.133333333333,0.171052631579,0.613333333333,0.434210526316,0.5,0.416666666667,1.0,0.0419047619048,0.0
5,0.541291435141,0.989657049537,0.358811109762,0.584541062802,0.183574879227,0.386473429952,0.233333333333,0.422222222222,0.250454227813,0.151851851852,0.224691358025,0.111111111111,0.0810185185185,0.0444444444444,0.0,0.426666666667,0.315789473684,0.453333333333,0.105263157895,0.657894736842,0.541666666667,1.0,0.512380952381,0.0
7,0.698218049435,0.985846488841,0.126516442043,0.666666666667,0.166666666667,0.208333333333,0.238095238095,0.587301587302,0.251572327044,0.031746031746,0.222222222222,0.0,0.0992063492063,0.0,0.0793650793651,0.96,0.960526315789,0.973333333333,0.789473684211,0.828947368421,0.5,1.0,0.118095238095,0.0
11,0.54378233378,0.988023952096,0.222057306932,0.517543859649,0.254385964912,0.421052631579,0.313253012048,0.174698795181,0.350079563537,0.367469879518,0.154618473896,0.10843373494,0.0,0.0,0.0301204819277,0.666666666667,0.631578947368,0.68,0.144736842105,0.815789473684,0.333333333333,0.0,0.314285714286,0.0
18,0.598007281088,0.984213391399,0.0501372452685,0.851851851852,0.037037037037,0.148148148148,0.181818181818,0.606060606061,0.192109777015,0.0606060606061,0.282828282828,0.0606060606061,0.0,0.0,0.0,0.76,0.828947368421,0.533333333333,0.0,0.578947368421,0.75,0.0,0.0609523809524,0.0
20,0.568116497413,0.995645073489,0.0392853091881,0.695652173913,0.130434782609,0.347826086957,0.178571428571,0.0,0.603773584906,0.0714285714286,0.416666666667,0.0,0.0,0.0,0.892857142857,0.893333333333,0.921052631579,0.946666666667,0.921052631579,0.934210526316,0.708333333333,0.0,0.0514285714286,0.0
21,0.477102893275,0.991290146979,0.10155989277,0.346153846154,0.538461538462,0.230769230769,0.402298850575,0.264367816092,0.376490999783,0.333333333333,0.0536398467433,0.0459770114943,0.0,0.0,0.0,0.0533333333333,0.105263157895,0.146666666667,0.0,0.473684210526,0.333333333333,0.0,0.16380952381,0.0
29,0.840390879479,0.998366902559,0.372642649135,0.671232876712,0.164383561644,0.13698630137,0.291262135922,0.31067961165,0.23594064847,0.21359223301,0.31715210356,0.116504854369,0.0606796116505,0.0388349514563,0.145631067961,0.586666666667,0.368421052632,0.546666666667,0.289473684211,0.447368421053,0.583333333333,0.0,0.194285714286,0.0
33,0.38168231462,0.996733805117,0.442174793927,0.688821752266,0.19335347432,0.108761329305,0.261160714286,0.348214285714,0.426886792453,0.147321428571,0.125,0.0803571428571,0.0139508928571,0.00892857142857,0.0,0.52,0.342105263158,0.626666666667,0.0,0.710526315789,1.0,0.0,0.851428571429,0.0
34,0.439164590918,0.985846488841,0.151984283562,0.139240506329,0.544303797468,0.582278481013,0.431654676259,0.287769784173,0.410479163839,0.26618705036,0.0671462829736,0.0575539568345,0.0,0.0,0.0,0.293333333333,0.197368421053,0.373333333333,0.157894736842,0.513157894737,0.875,0.0,0.262857142857,0.0
